#	Project	RCN	Call	Type	Start	End	Budget	Title	Teaser	Project URL	Funding Body link	Project URL (NEW WEBSITE)
18	CLARUS	194136	ICT-07-2014	RIA	Jan  2015	Dec  2017	€4,193,548	A FRAMEWORK FOR USER CENTRED PRIVACY AND SECURITY IN THE CLOUD	Although cloud computing offers many benefits, security issues such as  confidentiality and privacy are still major concerns to those intending to  migrate to the cloud. Traditional cloud security has been based on  assurance to customers that cloud providers follow sound...	http://clarussecure.eu/	http://cordis.europa.eu/project/rcn/194136_it.html	https://cyberwatching.eu/projects/949/clarus
19	CloudSocket	194235	ICT-07-2014	RIA	Jan  2015	Dec  2017	€4,084,850	Business and IT-Cloud Alignment using a Smart Socket	Business and IT Alignment is important challenge, as we are facing a  dramatic change in the way we rely, depend and interact with ICT that  influences our everyday life. Although “digital natives” will soon enter  the workforce, there is still a huge gap between the business...	https://site.cloudsocket.eu/	http://cordis.europa.eu/project/rcn/194235_en.html	https://cyberwatching.eu/projects/950/cloudsocket
20	CloudTeam	194223	ICT-07-2014	IA	Mar  2015	Feb  2017	€2,088,852	Collaborative Software Development Framework based on Trusted, Secure  Cloud-based Pool of Users	CloudTeams will be a cloud-based platform transforming software development  for cloud services into a much easier, faster and targeted process, by  engaging communities of users who will participate in the product life  cycle to help software teams develop better solutions for...	https://www.cloudteams.eu/projects/	http://cordis.europa.eu/project/rcn/194223_en.html	https://cyberwatching.eu/projects/951/cloudteams
21	COCKPITCI	102078	SEC-2011.2.5-1	CP-FP	Jan  2012	Dec  2014	€4,338,494	Cybersecurity on SCADA: risk prediction, analysis and reaction tools for  Critical Infrastructures	The protection of the national infrastructures is one of the main issues  for national and international security. While FP7 MICIE project has proved  that increasing cooperation among infrastructures increases their level of  service and predictive capability, it is not enough ...		http://cordis.europa.eu/project/rcn/102078_en.html	
22	COEMS	205937	ICT-10-2016	RIA	Nov  2016	Oct  2019	€3,961,083	Continuous Observation of Embedded Multicore Systems	The ability to observe the internals of an execution of a computer-based  system is a fundamental requirement for ultimately ensuring correctness and  safe behaviour. Within COEMS (Continuous Observation of Embedded Multicore  Systems) a novel observer platform with supporting...	https://www.coems.eu/	http://cordis.europa.eu/project/rcn/205937_en.html	https://cyberwatching.eu/projects/952/coems
23	COLA	206078	ICT-06-2016	IA	Jan  2017	Jun  2019	€4,238,580	Cloud Orchestration at the Level of Application	SMEs and public sector organizations increasingly investigate the  possibilities to use cloud computing services in their everyday business  conduct. Accessing services and resources in the cloud on-demand and in a  flexible and elastic way could result in significant cost...	https://project-cola.eu	http://cordis.europa.eu/project/rcn/206078_en.html	https://cyberwatching.eu/projects/953/cola
24	COMPACT	210223	DS-02-2016	IA	May  2017	Oct  2019	€4,283,480	COmpetitive Methods to protect local Public Administration from Cyber  security Threats	Cyber threats are the most significant and growing risk for public  administrations (PA). However, technological, organisational and structural  issues hamper the ability, especially for local PAs (LPAs) to improve their  cyber security level. Budget constraints and evolving...	https://www.compact-project.eu/en	http://cordis.europa.eu/project/rcn/210223_en.html	https://cyberwatching.eu/projects/954/compact
25	CONSENT	94079	SSH-2009-3.2.1.	CP-FP	May  2010	Apr  2013	€3,105,260	Consumer sentiment regarding privacy on user generated content services in  the digital economy	One of the key changes in societal trends and lifestyles witnessed over the  past few years has been the move on-line of many consumers and the way they  have become increasingly sophisticated in their media consumption habits.  Have these recent changes to consumer and commerci...	http://consent.law.muni.cz/	http://cordis.europa.eu/project/rcn/94079_en.html	
26	CREDENTIAL	194869	DS-02-2014	IA	Oct  2015	Sep  2018	€6,686,660	Secure Cloud Identity Wallet	With increasing mobility and Internet usage, the demand for digital  services increases and has reached critical and high assurance domains like  e-Government, e-Health and e-Business. Those domains have high security and  privacy requirements and hence will be harnessed with...	https://credential.eu/	http://cordis.europa.eu/project/rcn/194869_en.html	https://cyberwatching.eu/projects/956/credential
27	CROSSMINER	206182	ICT-10-2016	RIA	Jan  2017	Dec  2019	€4,519,008	Developer-Centric Knowledge Mining from Large Open-Source Software  Repositories	Recent reports state that the adoption of open-source software (OSS) helps,  resulting in savings of about $60 billion per year to consumers. However,  the use of OSS also comes at enormous cost: choosing among OSS projects and  maintaining dependence on continuously changing...	https://www.crossminer.org/	http://cordis.europa.eu/project/rcn/206182_en.html	https://cyberwatching.eu/projects/957/crossminer
28	CryptoCloud	185411	ERC-AG-PE6	ERC-AG	Jun  2014	May  2019	€2,168,261	Cryptography for the Cloud	Many companies have already started the migration to the Cloud and many  individuals share their personal informations on social networks.  Unfortunately, in the current access mode, the provider first authenticates  the client, and grants him access, or not, according to his ri...		http://cordis.europa.eu/project/rcn/185411_en.html	
29	CS-AWARE	210224	DS-02-2016	IA	Sep  2017	Aug  2020	€4,648,363	A cybersecurity situational awareness and information sharing solution for  local public administrations based on advanced big data analysis	Cybersecurity is one of today's most challenging security problems for  commercial companies, NGOs, governmental institutions as well as  individuals. Reaching beyond the technology focused boundaries of classical  information technology (IT) security, cybersecurity includes...	https://cs-aware.eu/	http://cordis.europa.eu/project/rcn/210224_it.html	https://cyberwatching.eu/projects/959/cs-aware
30	CYBECO	210232	DS-04-2016	RIA	May  2017	Apr  2019	€1,983,510	Supporting Cyberinsurance from a Behavioural Choice Perspective	CYBECO will research, develop, demonstrate, evaluate and exploit a new  framework for managing cybersecurity risks, one that is focusing on  cyberinsurance, as key risk management treatment. CYBECO integrates  multidisciplinary research methods from Behavioural Economics...	https://www.cybeco.eu/	http://cordis.europa.eu/project/rcn/210232_it.html	https://cyberwatching.eu/projects/960/cybeco
31	CyberWiz	200381	DRS-17-2014	SME-2	Sep  2015	Aug  2017	€2,279,375	Cyber-Security Visualization and CAD-Tool for the Vulnerability Assessment  of Critical Infrastructures	The ICT environments of critical infrastructures (such as energy  distribution systems) are composed of a large number of systems connected  to form a complex system of systems. Recent initiatives to upgrade power  systems into smart grids target an even tighter integration with...	https://www.cyberwiz.eu/	http://cordis.europa.eu/project/rcn/200381_en.html	https://cyberwatching.eu/projects/964/cyberwiz
32	CYCLONE	194262	ICT-07-2014	IA	Jan  2015	Dec  2017	€3,843,602	Complete Dynamic Multi-cloud Application Management	Application service providers (ASPs) now develop, deploy, and maintain  complex computing platforms within multiple cloud infrastructures to  improve resilience, responsiveness and elasticity of their applications.  The CYCLONE project targets the ASPs, providing them with...	http://www.cyclone-project.eu/	http://cordis.europa.eu/project/rcn/194262_en.html	https://cyberwatching.eu/projects/977/cyclone
33	CYRail	206014	S2R-OC-IP2-01-2015	Shift2Rail-RIA	Oct  2016	Sep  2018	€1,498,150	Cybersecurity in the RAILway sector	Railway infrastructures are moving towards more intelligent, connected,  user-centric and collaborative systems. While it brings many advantages for  the industry and users, it also poses new opportunities for cyber-criminals  and terrorists. CYRail aims to deliver tailored...	http://cyrail.eu	http://cordis.europa.eu/project/rcn/206014_en.html	https://cyberwatching.eu/projects/1025/cyrail
34	DAPPER	185683	FP7-PEOPLE-2013-CIG	MC-CIG	Apr  2014	Mar  2018	€100,000	"Doing Anonymization Practically, Privately, Effectively and Reusably"	"There is currently a tug-of-war going on surrounding data releases. On one  side, there are many strong reasons pulling to release data to other  parties: business factors, freedom of information rules, and scientific  sharing agreements. On the other side, concerns about indiv...		http://cordis.europa.eu/project/rcn/185683_en.html	
35	DECODE	206387	ICT-12-2016	RIA	Dec  2016	Nov  2019	€4,987,674	Decentralised Citizens Owned Data Ecosystem	Today’s Internet is becoming increasingly centralised, slowing innovation  and challenging its potential to revolutionise society and the economy in a  pluralistic manner. DECODE will develop practical alternatives through the  creation, evaluation and demonstration of a...	https://www.decodeproject.eu	http://cordis.europa.eu/project/rcn/206387_en.html	https://cyberwatching.eu/projects/1037/decode
36	DEFENDER	210231	CIP-01-2016-2017	IA	May  2017	Apr  2020	€8,859,938	Defending the European Energy Infrastructures	Critical Energy infrastructures (CEI) protection and security are becoming  of utmost importance in our everyday life. However, cyber and  system-theoretic approaches fail to provide appropriate security levels to  CEIs, since they are often used in isolation and build on...		http://cordis.europa.eu/project/rcn/210231_it.html	
37	DISCOVERY	199580	ICT-38-2015	CSA	Jan  2016	Dec  2017	€2,223,525	Dialogues on ICT to Support COoperation Ventures and Europe-North AmeRica  (Canada and USA) sYnergies	"DISCOVERY aims at supporting dialogues between Europe and North America  (US and Canada); and fostering cooperation in collaborative ICT R&I, both  under Horizon 2020 and under US and Canada funding programmes. With this  purpose, DISCOVERY proposes a radically new approach to...	http://www.discoveryproject.eu	http://cordis.europa.eu/project/rcn/199580_en.html	
38	DiSIEM	202707	DS-04-2015	IA	Sep  2016	Aug  2019	€4,020,019	Diversity Enhancements for SIEMs	Security Information and Event Management (SIEM) systems are a fundamental  component of the ubiquitous ICT infrastructures that form the backbone of  our digital society. These systems are mostly used to monitor  infrastructures using many types of sensors and tools and...	http://disiem-project.eu	http://cordis.europa.eu/project/rcn/202707_en.html	https://cyberwatching.eu/projects/1040/disiem
39	DITAS	205979	ICT-06-2016	RIA	Jan  2017	Dec  2019	€4,890,066	DITAS: Data-intensive applications Improvement by moving daTA and  computation in mixed cloud/fog environmentS	There is an increasing need to develop data intensive applications able to  manage more and more amounts of data coming from distributed and  heterogeneous sources effectively, quickly, correctly, and securely.  However, the current adoption of Cloud Computing paradigm is not...	http://www.ditas-project.eu/	http://cordis.europa.eu/project/rcn/205979_it.html	https://cyberwatching.eu/projects/1041/ditas
40	DOGANA	185683	DS-06-2014	IA	Sep  2015	Aug  2018	€5,822,250	aDvanced sOcial enGineering And vulNerability Assesment Framework	"The advent of Social Networks has made both companies and public bodies  tremendously exposed to the so-called Social Engineering 2.0, and thus  prone to targeted cyber-attacks. Unfortunately, there is currently no  solution available on the market that allows neither the...	http://www.dogana-project.eu	http://cordis.europa.eu/project/rcn/194877_en.html	https://cyberwatching.eu/projects/1042/dogana
41	DSSC	210344	MSCA-COFUND-2016	MSCA-COFUND-DP	May  2017	Apr  2022	€71,429	Data Science and Systems Complexity Research Training Programme	Today’s world is a highly complex system that is producing massive amounts  of data daily. We can only progress towards urgent global priorities such  as sustainable energy, personalized healthcare or the development of the  data-driven economy if we can predict the dynamic...		http://cordis.europa.eu/project/rcn/210344_en.html	https://www.cyberwatching.eu/projects/1045/ecrypt
42	e-Sides	206175	ICT-18-2016	CSA	Jan  2017	Dec  2019	€999,940	Ethical and Societal Implications of Data Sciences	Data-driven innovation is deeply transforming society and the economy.  Although there are potentially enormous economic and social benefits this  innovation also brings new challenges for individual and collective  privacy, security, as well as democracy and participation. The...	http://www.e-sides.eu/	http://cordis.europa.eu/project/rcn/206175_en.html	https://cyberwatching.eu/projects/1044/e-sides
43	ECRYPT-CSA	194321	ICT-32-2014	CSA	Mar  2015	Feb  2018	€1,000,000	European Coordination and Support Action in Cryptology	This CSA intends to strengthen European excellence in the area of  cryptology and to achieve a durable integration and structuring of the  European cryptography community, involving academia, industry, government  stakeholders and defence agencies. The project will coordinate...	http://www.ecrypt.eu.org/csa/	http://cordis.europa.eu/project/rcn/194321_it.html	https://www.cyberwatching.eu/projects/1045/ecrypt
44	ECRYPT-NET	193996	MSCA-ITN-2014-ETN	MSCA-ITN-ETN	Mar  2015	Feb  2019	€3,893,200	European Integrated Research Training Network on Advanced Cryptographic  Technologies for the Internet of Things and the Cloud	The goal of this ETN is to develop advanced cryptographic techniques for  the Internet of Things and the Cloud and to create implementations that  offer a high level of security and increased usability, for a wide range of  physical computation platforms. The ITN will equip a...	http://www.ecrypt.eu.org/net/	http://cordis.europa.eu/project/rcn/193996_en.html	
45	ENCASE	198839	MSCA-RISE-2015	MSCA-RISE	Jan  2016	Dec  2019	€2,160,000	EnhaNcing seCurity And privacy in the Social wEb: a user centered approach  for the protection of minors	ENCASE will leverage the latest advances in usable security and privacy to  design and implement a browser-based architecture for the protection of  minors from malicious actors in online social networks. The ENCASE  user-centric architecture will consist of three distinct...	http://encase.socialcomputing.eu/	http://cordis.europa.eu/project/rcn/198839_en.html	https://cyberwatching.eu/projects/1157/encase
46	EU-SEC	207439	DS-01-2016	IA	Jan  2017	Dec  2019	€4,162,511	The European Security Certification Framework	In recent years the ICT market has evolved toward a cloud-based approach.  This shift together with the rapidly changing legal and regulatory  landscape has heavily impacted security assurance, governance and  compliance. The information security market players have tried to...	http://www.sec-cert.eu/	http://cordis.europa.eu/project/rcn/207439_en.html	https://cyberwatching.eu/projects/1046/eu-sec
47	EUNITY	210046	DS-05-2016	CSA	Jun  2017	May  2019	€499,813	Cybersecurity and privacy dialogue between Europe and Japan	The EUNITY project addresses scope 2 (international dialogue with Japan) of  objective DS-05-2016 of the H2020 work programme. This two years project  aims at developing and encouraging the dialogue between Europe and Japan on  cybersecurity and privacy topics. The partners...	https://www.eunity-project.eu/en/	http://cordis.europa.eu/project/rcn/210046_it.html	https://cyberwatching.eu/projects/1047/eunity
48	FIDELITY	102324	SEC-2011.3.4-1	CP-IP	Feb  2012	Jan  2016	€18,995,170	Fast and trustworthy Identity Delivery and check with ePassports leveraging  Traveler privacy	Significant efforts have been invested to strengthen border ID checks with  biometrics Travel Documents embedding electronic chips (ePassport).  However, problems appeared regarding fraud in the ePassport issuing  process, citizen losing control on their personal data, difficult...	http://www.fidelity-project.eu/	http://cordis.europa.eu/project/rcn/102324_en.html	
49	FORTIKA	210222	DS-02-2016	IA	Jun  2017	May  2020	€4,918,813	FORTIKA - Cyber Security Accelerator for trusted SMEs IT Ecosystems	FORTIKA aims to (1) minimise the exposure of small and medium sized  businesses to cyber security risks and threats, and (2) help them  successfully respond to cyber security incidents, while relieving them from  all unnecessary and costly efforts of identifying, acquiring and...	https://fortika-project.eu/	http://cordis.europa.eu/project/rcn/210222_it.html	https://cyberwatching.eu/projects/1052/fortika
50	FutureTrust	202698	DS-05-2015	IA	Jun  2016	May  2019	€7,474,031	Future Trust Services for Trustworthy Global Transactions	Against the background of the regulation 2014/910/EU on electronic  identification (eID) and trusted services for electronic transactions in  the internal market (eIDAS), the FutureTrust project aims at supporting the  practical implementation of the regulation in Europe and...	https://www.futuretrust.eu/home/	http://cordis.europa.eu/project/rcn/202698_en.html	https://cyberwatching.eu/projects/1055/futuretrust
51	GenoPri	203068	MSCA-IF-2015-EF	MSCA-IF-EF-ST - Standard EF	May  2016	Apr  2018	€157,846	Quantifying and Protecting the Privacy of Genomic Data	Genomic data carries a lot of sensitive information about its owner such as  his predispositions to sensitive diseases, ancestors, physical attributes,  and genomic data of his relatives (leading to interdependent privacy  risks). Individuals share vast amount of information on...	http://www.cs.bilkent.edu.tr/	http://cordis.europa.eu/project/rcn/203068_en.html	
52	GHOST	207439	DS-02-2016	IA	May  2017	Apr  2020	€4,995,519	Safe-Guarding Home IoT Environments with Personalised Real-time Risk Control	To effectively respond to the multitude & complexity of cybersecurity  challenges in smart-homes GHOST deploys a pioneering software-enabled  ‘usable security’ solution. The project brings professional level security  to the European citizens and to this end it: (a) increases...	https://www.ghost-iot.eu/	http://cordis.europa.eu/project/rcn/210233_en.html	https://cyberwatching.eu/projects/1056/ghost
53	HEAT	194171	ICT-32-2014	RIA	Jan 2015	Dec 2017	€4,165,726	Homomorphic Encryption Applications and Technology	Homomorphic cryptography offers the tantalizing goal of being able to  process sensitive information in encrypted form, without needing to  compromise on the privacy and security of the citizens and organizations  that provide the input data.The HEAT proposal brings together...	https://heat-project.eu/	http://cordis.europa.eu/project/rcn/194171_en.html	https://cyberwatching.eu/projects/1061/heat
54	HECTOR	194145	ICT-32-2014	RIA	Mar  2015	Feb  2018	€4,494,088	HARDWARE ENABLED CRYPTO AND RANDOMNESS	A single flipped bit or a weak random number generator can cause secure  systems to fail. The main objective of this proposal is to close the gap  between the mathematical heaven of cryptographic algorithms and their  efficient, secure and robust hardware implementations. It...	https://hector-project.eu/	http://cordis.europa.eu/project/rcn/194145_en.html	https://cyberwatching.eu/projects/1064/hector
55	HERMENEUT	210209	DS-04-2016	RIA	May  2017	Apr  2019	€2,007,693	Enterprises intangible Risks Management via Economic models based on  simulatioN of modErn cyber-aTtacks	IT security and risk management often ignore or underestimate the human  factor (psychological, behavioural, societal, organisational and economic  aspects) in the identification of cyber-risks, their quantitative economic  impact and the costs of countermeasures. Cyber-attacks...	https://cyberconnector.eu/web/hermeneut	http://cordis.europa.eu/project/rcn/210209_en.html	https://cyberwatching.eu/projects/1068/hermeneut
56	HIPS	188662	ERC-CG-2013-PE6	ERC-CG	Oct  2014	Sep  2019	€1,999,175	High-Performance Secure Computation with Applications to Privacy and Cloud  Security	"Secure two-party and multiparty computation has long stood at the center  of the foundations of theoretical cryptography. However, in the last five  years there has been blistering progress on the question of efficient  secure computation. We are close to the stage that secure ...		http://cordis.europa.eu/project/rcn/188662_en.html	
57	IMPACT	192598	ERC-2013-SyG	ERC-SyG	Feb  2015	Jan  2021	€9,257,000	imPACT – Privacy, Accountability, Compliance, and Trust in Tomorrow’s  Internet	The Internet has evolved from a mere communication network used by tens of  millions of users two decades ago, to a global multimedia platform for  communication, social networking, entertainment, education, trade and  political activism used by more than two billion users. This...	http://www.impact-erc.eu/	http://cordis.europa.eu/project/rcn/192598_en.html	https://cyberwatching.eu/projects/1069/impact
58	KONFIDO	207188	DS-03-2016	RIA	Nov  2016	Oct  2019	€4,992,078	KONFIDO - Secure and Trusted Paradigm for Interoperable eHealth Services	KONFIDO advances the state of the art of eHealth technology with respect to  four key dimensions of digital security, namely: data preservation, data  access and modification, data exchange, and interoperability and  compliance. To address the challenges of secure storage and...	http://www.konfido-project.eu/konfido/	http://cordis.europa.eu/project/rcn/207188_en.html	https://cyberwatching.eu/projects/1070/konfido
59	LAST	91973	ERC-SG-PE6	ERC-SG - ERC Starting Grant	Oct  2009	Sep  2014	€1,921,316	Large Scale Privacy-Preserving Technology in the Digital World -  Infrastructure and Applications	Data mining provides large benefits to the commercial, government and  homeland security sectors, but the aggregation and storage of huge amounts  of data about citizens inevitably leads to erosion of privacy. To achieve  the benefits that data mining has to offer, while at the ...		http://cordis.europa.eu/project/rcn/91973_en.html	
60	LIGHTest	194145	DS-05-2015	IA	Sep  2016	Aug  2019	€8,696,946	Lightweight Infrastructure for Global Heterogeneous Trust management in  support of an open Ecosystem of Stakeholders and Trust schemes.	The objective of LIGHTest is to create a global cross-domain trust  infrastructure that renders it transparent and easy for verifiers to  evaluate electronic transactions. By querying different trust authorities  world-wide and combining trust aspects related to identity...	http://lightest.eu	http://cordis.europa.eu/project/rcn/203437_en.html	https://cyberwatching.eu/projects/1072/lightest
61	LV-Pri20	196089	MSCA-IF-2014-EF	MSCA-IF-EF-CAR	Jun  2015	Jun  2017	€195,455	Logic-based Verification of Privacy-Preservation in Europe's 2020 ICT	In line with the EU 2020 Flagship Initiative on a Digital Agenda for Europe  and the upcoming EU Cybersecurity Strategy, the goal of the LV-Pri20  project is to aid our ICT-driven lives, by “safeguarding the human right of  privacy in the digital society”. Concretely, the...	http://people.itcarlson.com/ioana/mc.html	http://cordis.europa.eu/project/rcn/196089_en.html	
62	MAMI	199159	ICT-12-2015	RIA	Jan  2016	Jun  2018	€2,901,500	Measurement and Architecture for a Middleboxed Internet	Recent revelations about large-scale pervasive surveillance of Internet  traffic have led to a rapidly expanding deployment of encryption in order  to protect end-user privacy. At the same time, network operators and access  providers rely on increasing use of in-network...	https://mami-project.eu/	http://cordis.europa.eu/project/rcn/199159_en.html	https://www.cyberwatching.eu/projects/1074/mami
63	MAPPING	111214	SiS.2013.1.2-1	CSA-SA	Mar  2014	Feb  2018	€4,642,522	Managing Alternatives for Privacy, Property and INternet Governance	Building on the results of several EU FP7 projects including CONSENT  (covering on-line consent and privacy in social networks), SMART and  RESPECT (which cover smart and on-line surveillance, etc.) MAPPING’s goal  is to create an all-round and “joined-up” understanding of the m...	https://mappingtheinternet.eu/	http://cordis.europa.eu/project/rcn/111214_en.html	https://www.cyberwatching.eu/projects/1075/mapping
64	MAS2TERING	192066	ICT-2013.6.1	CP	Sep  2014	Aug  2017	€4,539,730	Multi-Agent Systems and Secured coupling of Telecom and EnErgy gRIds for  Next Generation smartgrid services	The success of the European vision of a low carbon electricity grid that  minimises greenhouse gas emissions; and enhances security, quality and  reliability of supply depends on how smart infrastructures, combining  energy and telecom, are developed and implemented for the wide...	http://www.mas2tering.eu/	http://cordis.europa.eu/project/rcn/192066_en.html	
